"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"194","England",2,"Male",NA,"Married","No","Married/living as married","Yes","The Times","Every day","The Times/The Sunday Times","Yes",NA,"Conservative","Conservative","... a great deal,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","... there is a great difference between them,","Education","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","6","5 - Neither",NA,"Agree","Yes, several","WHITE: of any origin","No religion","Degree",NA,"Agree","Disagree","Agree","Agree","Disagree","Agree strongly","No","(Doing something else) (WRITE IN)",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"195","England",2,"Female",NA,"Married","No","Married/living as married","Yes","Daily Telegraph","Never",NA,"No","Yes","Conservative","Conservative","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","4",NA,"Agree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"196","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","Labour","Labour","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","... there is a great difference between them,","Education","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","10 - Extremely good for economy","5 - Neither","Coming to work in Britain from countries outside the European Union","Agree strongly","No, none at all","WHITE: of any origin","Church of England/Anglican","Degree",NA,"Disagree","Disagree","Agree strongly","Disagree strongly","Disagree strongly","Agree strongly","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"197","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","Daily Telegraph","Every day","Financial Times","Yes",NA,"UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Defence","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","6",NA,"Coming to work in Britain from countries inside the European Union","Disagree","Yes, several","WHITE: of any origin","Church of England/Anglican","Degree","£2,701 - 3,600 p.m.","Agree","Disagree","Disagree","Agree","Disagree","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"198","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Only some of the time","... there is a great difference between them,","Health","(Neither)","Keep taxes and spending on these services at same level","about right,",NA,NA,"Remain the same as it is","5 - Neither","5 - Neither","Don't know","Neither agree nor disagree","Yes, several","WHITE: of any origin","Christian - no denomination","Higher educ below degree",NA,"Disagree","Disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"199","England",2,"Female",NA,"Living with a partner","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Every day","The Guardian/The Observer","No","Yes","Labour","Labour","some,","Can t be too careful in dealing with people","to leave things as they are,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","3","3","Coming to study in British universities","Disagree strongly","No, none at all","WHITE: of any origin","No religion","Degree",NA,"Neither agree nor disagree","Agree","Agree","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","No","Unemployed, *not* registered, but actively looking for a job (of at least 10 hrs a week)","Mentioned",NA,NA,NA,NA,NA,NA,NA
"200","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Never",NA,"Yes",NA,NA,NA,"quite a lot,","Can t be too careful in dealing with people","to leave things as they are,","Almost never","Almost never","... there is a great difference between them,","Housing",NA,"Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a little","8","8",NA,"Agree strongly","Yes, several","BLACK: of African origin","Other Protestant","Degree",NA,NA,NA,NA,NA,NA,NA,"No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,NA,NA,NA,NA,NA,NA,NA
"201","England",2,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Every day","BBC News","Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","(None of these)","too high and discourage work","Reduce taxes and spend less on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","8","7","Coming to work in Britain from countries inside the European Union","Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","Degree","£3,601 or more p.m.","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"202","England",4,"Female",NA,"Widowed/surviving partner from a civil partnership","Yes","Widowed","Yes","The Guardian","Several times a day","The Guardian/The Observer","Yes",NA,"Labour","Labour","... a great deal,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Only some of the time","... there is a great difference between them,","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a lot","4","6","SPONTANEOUS ONLY: To access benefits or housing","Disagree strongly","Yes, several","ASIAN: of Pakistani origin","Islam/Muslim","Degree","£781 - 1,100 p.m.","Agree strongly","Agree","Agree strongly","Agree strongly","Agree","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"203","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people","or, to work for the formation of a single European government?","Only some of the time","Almost never","or, not much difference?","Housing","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","7",NA,"Agree","No, none at all","WHITE: of any origin","No religion","A level or equiv",NA,"Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"204","Scotland",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"No","Yes","Liberal Democrat","Liberal Democrat","some,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Almost never","Almost never","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","6","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","No qualification","£431 - 780 p.m.","Agree strongly","Disagree","Disagree","Disagree","Agree","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"205","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","quite a lot,","Can t be too careful in dealing with people",NA,"Only some of the time","Only some of the time","... there is a great difference between them,","Education","too low and cause hardship","Keep taxes and spending on these services at same level","too large","has enough to live on,","...I don t believe that climate change is taking place","Reduced a lot","5 - Neither","1",NA,"Disagree","No, none at all","WHITE: of any origin","Church of England/Anglican",NA,NA,"Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"206","England",3,"Male",NA,"Married","No","Married/living as married","No",NA,"Several times a day","BBC News","No","No","Labour","Labour","quite a lot,","Most people can be trusted","to leave things as they are,","Only some of the time","Most of the time","some difference,","Housing","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","9","8","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, a few","WHITE: of any origin","Christian - no denomination","Degree","£2,201 - 2,700 p.m.","Disagree","Disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"207","England",4,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Several times a day","BBC News","No","No","Labour","Labour","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Increase taxes and spend more on health, education etc","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","0 - Cultural life undermined","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Agree strongly","Agree","Agree","Agree","Disagree strongly","Agree strongly","No","In full-time education (not paid for by employer, including on vacation)","Mentioned","Mentioned",NA,"Mentioned",NA,NA,NA,NA
"208","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Sun/ Scottish Sun","Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","some difference,","Police and prisons","(Neither)","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","8","5 - Neither","Coming to work in Britain from countries outside the European Union","Disagree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Disagree strongly","Agree","Disagree","Agree","Neither agree nor disagree","Disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned",NA,NA,NA,NA,NA,NA,NA
"209","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Every day","Aggregator news service (e.g. Google/MSN/Virgin/BT/Yahoo/AOL/Orange)","No","No","None","None","quite a lot,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Defence","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","4",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","Church of England/Anglican",NA,NA,"Agree strongly","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"210","England",2,"Male",NA,"Married","No","Married/living as married","Yes","Daily Telegraph","Never",NA,"Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Most of the time","Almost never","or, not much difference?","Help for industry","too high and discourage work","(None)","about right,",NA,"...I don t believe that climate change is taking place","Reduced a little","7","6","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, several","WHITE: of any origin","No religion","O level or equiv","£2,701 - 3,600 p.m.","Neither agree nor disagree","Neither agree nor disagree","Disagree strongly","Disagree","Disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"211","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Never",NA,"No","No","None","None","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Housing","too high and discourage work","(None)","about right,","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Disagree","Yes, one","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Agree","Agree strongly","Agree","Agree","Agree","Agree strongly","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"212","England",2,"Female",NA,"Living with a partner","No","Married/living as married","No",NA,"A couple of times a month","BBC News","No","Yes","RESPECT/ Scottish Socialist Party (SSP)/ Socialist Party","RESPECT/ Scottish Socialist Party (SSP)/ Socialist Party","not very much,","Most people can be trusted","to leave things as they are,","Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","8",NA,"Agree strongly","Yes, a few","WHITE: of any origin","No religion","Degree",NA,"Disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Neither agree nor disagree","No","In full-time education (not paid for by employer, including on vacation)","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"213","England",4,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"No","No","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to leave the European Union,","Most of the time","Only some of the time","some difference,","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Disagree strongly","No, none at all","WHITE: of any origin","No religion","A level or equiv",NA,"Agree strongly","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree strongly","No","Unemployed, *not* registered, but actively looking for a job (of at least 10 hrs a week)",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"214","England",3,"Male",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","At least once a week","Daily Telegraph/The Sunday Telegraph","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Almost never","or, not much difference?","Health","too high and discourage work",NA,"too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","8","Coming to work in Britain from countries inside the European Union","Agree","Yes, a few","WHITE: of any origin","No religion",NA,"£1,601 - 1,800 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"215","England",1,"Female",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","Yes","The Sun/ Scottish Sun","Never",NA,"No","No","Conservative","Conservative","not very much,","Can t be too careful in dealing with people",NA,"Almost never","Only some of the time","... there is a great difference between them,","Police and prisons","too high and discourage work","Keep taxes and spending on these services at same level","about right,",NA,"I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Refugees claiming asylum in Britain","Disagree strongly","No, none at all","WHITE: of any origin","No religion","No qualification","Less than £430 p.m.","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"216","England",1,"Male",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to leave things as they are,","Almost never","Almost never","or, not much difference?","Roads","too low and cause hardship","(None)","too large","is hard up,","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","2","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","No religion","O level or equiv",NA,"Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","No","Unemployed and registered at a JobCentre or JobCentre Plus",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"217","England",2,"Female",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Express","Never",NA,"No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","4","3",NA,"Agree","Yes, several","WHITE: of any origin","Church of England/Anglican","A level or equiv","£781 - 1,100 p.m.","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"218","England",7,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Never",NA,"No","No",NA,NA,"some,","Can t be too careful in dealing with people","to leave things as they are,","Most of the time","Most of the time","... there is a great difference between them,","Health","(Neither)","Reduce taxes and spend less on health, education etc","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","5 - Neither",NA,"Agree","Yes, a few","ASIAN: of Indian origin","Hindu","No qualification",NA,NA,NA,NA,NA,NA,NA,"No","Permanently sick or disabled","Mentioned",NA,NA,NA,NA,NA,NA,NA
"219","England",3,"Male",NA,"Living with a partner","Yes","Married/living as married","No",NA,"Every day","The Independent/The Independent on Sunday/the i","Yes",NA,"Labour","Labour","quite a lot,","Most people can be trusted","to leave the European Union,","Almost never","Almost never","some difference,","Housing","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","4","4",NA,"Agree strongly","Yes, a few","WHITE: of any origin","No religion","A level or equiv","£1,801 - 2,200 p.m.","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,"Mentioned",NA,NA,NA
"220","England",3,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Never",NA,"No","No","Labour","Labour","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Education","too low and cause hardship","Keep taxes and spending on these services at same level","too large","or, is really poor?","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","1",NA,"Disagree strongly","No, none at all","WHITE: of any origin","No religion","CSE or equiv","Refused information","Disagree strongly","Agree strongly","Agree","Agree strongly","Agree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"221","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"At least once a week","BBC News","No","No","Conservative","Conservative","not very much,","Most people can be trusted","to stay in the EU and try to increase the EU s powers,","Only some of the time","Almost never","or, not much difference?","Health","Other answer (WRITE IN)","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","5 - Neither","Refugees claiming asylum in Britain","Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","Higher educ below degree","£1,101 - 1,300 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"222","Scotland",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","(Scottish) Daily Mail","Never",NA,"No","Yes","Conservative","Conservative","not very much,","Most people can be trusted","to leave the European Union,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Reduce taxes and spend less on health, education etc","about right,","is hard up,",NA,"Reduced a lot","5 - Neither","4",NA,"Disagree","Yes, one","WHITE: of any origin","No religion","No qualification",NA,"Neither agree nor disagree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","Wholly retired from work",NA,NA,NA,"Mentioned",NA,NA,NA,NA
"223","England",3,"Female",NA,"Married","Yes","Married/living as married","No",NA,"Every day","Daily Mail or Mail Online/Mail on Sunday","Yes",NA,"Conservative","Conservative","... a great deal,","Can t be too careful in dealing with people","to leave things as they are,","Most of the time","Only some of the time","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","1","Coming to work in Britain from countries inside the European Union","Agree","Yes, several","WHITE: of any origin","Roman Catholic","O level or equiv",NA,"Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","No","Looking after the home",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"224","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"A couple of times a month","BBC News","No","Yes","Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","9","7","Coming to work in Britain from countries inside the European Union","Agree","Yes, several","WHITE: of any origin","No religion","Degree","£1,601 - 1,800 p.m.","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"225","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","Yes","Liberal Democrat","Liberal Democrat","some,","Most people can be trusted","to leave things as they are,","Only some of the time","Almost never","or, not much difference?","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","5 - Neither","8","Coming to work in Britain from countries inside the European Union","Disagree","Yes, a few","WHITE: of any origin","Christian - no denomination","Higher educ below degree","£1,301 - 1,600 p.m.","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,"Mentioned",NA,NA,NA,NA,NA
"226","England",4,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","No",NA,"Several times a week","BBC News","No","No","Labour","Labour","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","4",NA,"Disagree strongly","Yes, several","WHITE: of any origin","Islam/Muslim","CSE or equiv",NA,NA,NA,NA,NA,NA,NA,"No","Looking after the home",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"227","Wales",2,"Male",NA,"Living with a partner","No","Married/living as married","Yes","Daily Star","Several times a week","BBC News","No","Yes","UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","or, none at all?","Most people can be trusted","to leave the European Union,","Almost never","Almost never","or, not much difference?","Help for industry","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","A level or equiv","£1,801 - 2,200 p.m.","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,"Mentioned",NA,NA,NA
"228","England",2,"Male",NA,"Separated (after being married or in a civil partnership)","Yes","Separated/divorced","Yes","Daily Mirror/ Scottish Mirror","Never",NA,"No","No","None","None","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Education","(Neither)","Keep taxes and spending on these services at same level","too large","or, is really poor?","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","1","SPONTANEOUS ONLY: To access benefits or housing","Neither agree nor disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","O level or equiv","£2,201 - 2,700 p.m.","Neither agree nor disagree","Agree","Agree","Disagree","Disagree","Agree strongly","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"229","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Every day","The Guardian/The Observer","No","No",NA,NA,"or, none at all?","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","3","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","Yes, several","ASIAN: of Indian origin","Roman Catholic","Degree","Refused information","Neither agree nor disagree","Agree","Agree","Disagree","Disagree strongly","Agree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"230","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Never",NA,"No","No",NA,NA,"some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Housing","too low and cause hardship","Keep taxes and spending on these services at same level","too large","is hard up,","...I don t believe that climate change is taking place","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined",NA,"Disagree strongly","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification",NA,"Agree","Agree strongly","Neither agree nor disagree","Agree strongly","Agree strongly","Agree strongly","No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"231","England",3,"Female",NA,"Separated (after being married or in a civil partnership)","Yes","Separated/divorced","Yes","The Guardian","Every day","The Guardian/The Observer","No","Yes","Labour","Labour","... a great deal,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Only some of the time","Almost never","... there is a great difference between them,","Health","too high and discourage work","(None)","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","8",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","Degree","£3,601 or more p.m.","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"232","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","(Scottish) Daily Mail","Several times a day","BBC News","No","No","None","None","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","or, not much difference?","Public transport",NA,"Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?",NA,"5 - Neither","8",NA,"Agree","Yes, a few","ASIAN: of Chinese origin","No religion","Degree","£3,601 or more p.m.","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
